facility_id,facility_name,operator,city,county,latitude,longitude,location_precision,location_confidence,status_normalized,facility_type,analysis_scope,nearest_neighbor_km,cluster,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,county_geoid,county_name,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,record_id,record_role,geo_cluster_raw,geo_cluster,expanded_nearest_neighbor_km,feature_cluster,feature_pc1,feature_pc2
TNDC-033,EdgeConneX Nashville (EDCNAS01),EdgeConneX Inc.,Nashville,Davidson,36.144881,-86.701721,address_or_site,high,operational,interconnection_facility,core_data_center,1.976314023135052,C2 Nashville area,0.121071942828338,0.121071942828338,13.534945397120635,500.0,1,0.1172400237093578,0.1172400237093578,0.6475982838099955,846,47037,Davidson County,38,949.0,519.0,55,1623.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-033,confirmed_master,0,E3 Nashville area,1.97631402313534,F2,2.6445742983156846,-0.36127862797059285
TNDC-034,H5 Data Centers Nashville,H5 Data Centers,Nashville,Davidson,36.1628,-86.77863,address_or_site,high,operational,data_center,core_data_center,0.2086854803185778,C2 Nashville area,0.3316205949751729,1.5872554210648755,19.647452385720698,500.0,1,0.2355441969279202,1.2137968750288166,0.4253171342582417,940,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-034,confirmed_master,0,E3 Nashville area,0.20868548031879056,F2,2.3487027912589373,-0.24268769665208267
TNDC-035,H5 Data Centers Nashville (TN01),IRIS,Nashville,Davidson,36.162621,-86.776316,address_or_site,high,operational,interconnection_facility,core_data_center,0.2086854803185778,C2 Nashville area,0.1640777880258871,1.4811008140686903,19.542920530071527,500.0,1,0.1203295080290079,1.10915247143415,0.2693965447065286,934,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-035,confirmed_master,0,E3 Nashville area,0.20868548031879056,F2,2.3747850650347724,-0.21237427031190861
TNDC-036,Level(3) Nashville (9th Ave),Lumen Technologies Inc,Nashville,Davidson,36.189148,-86.804111,address_or_site,high,operational,interconnection_facility,core_data_center,2.3989227738591374,C2 Nashville area,0.2273852455170062,2.113753637504367,19.6969167183482,500.0,1,0.2266622130345049,0.747404067564151,1.4459045910957635,945,47037,Davidson County,34,665.0,467.0,55,1667.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-036,confirmed_master,0,E3 Nashville area,2.398922773859148,F2,2.3945549547595,-0.43848184691446046
TNDC-037,Level(3) Nashville (Sidco Drive),Lumen Technologies Inc,Nashville,Davidson,36.102726,-86.755786,address_or_site,high,operational,interconnection_facility,core_data_center,1.5634296886992427,C2 Nashville area,0.0719328320559844,0.0719328320559844,12.79322332420262,500.0,1,0.8043017565536495,0.8043017565536495,1.042069394443569,902,47037,Davidson County,38,949.0,519.0,51,1172.0,522.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-037,confirmed_master,0,E3 Nashville area,1.5634296886990042,F2,2.2070865022699935,-0.9349280361445378
TNDC-038,Peace Communications NSH2,Scipio Technologies,Nashville,Davidson,36.103326,-86.668932,address_or_site,high,operational,interconnection_facility,core_data_center,5.053066150501399,C2 Nashville area,0.0707119478126202,1.0205936549853298,8.266680964276182,500.0,1,0.101192712090354,3.367226120148101,0.216468617040965,809,47037,Davidson County,38,949.0,519.0,55,1623.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-038,confirmed_master,0,E3 Nashville area,5.053066150501165,F2,2.43800265944387,-0.05812770680092823
TNDC-039,Quantum Leap Data Center/ Fisk University,,Nashville,Davidson,36.167574,-86.8041028,address_or_site,high,proposed,data_center,core_data_center,1.735944713176277,C2 Nashville area,0.3583329681780802,1.2702551176752837,19.413290132561848,500.0,1,0.3489538946991903,0.3489538946991903,1.3238321098183508,963,47037,Davidson County,35,665.0,467.0,55,1588.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-039,confirmed_master,0,E3 Nashville area,1.7359447131764885,F2,2.385506579135356,-0.5220746400153172
TNDC-040,RadiusDC Nashville I,RadiusDC,Nashville,Davidson,36.27987,-86.7837,approximate,medium,under_construction,data_center,core_data_center,10.252603292630416,C2 Nashville area,0.9431874961031312,0.9431874961031312,17.882198943230637,500.0,1,0.0351958031727906,1.3327258192916658,0.142918790272357,953,47037,Davidson County,34,665.0,467.0,54,1667.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-040,confirmed_master,0,E3 Nashville area,10.252603292630376,F2,2.294780995842088,-0.13700882119053812
TNDC-041,XO Nashville,XO,Nashville,Davidson,36.158837,-86.772516,address_or_site,high,operational,interconnection_facility,core_data_center,0.5416832532175047,C2 Nashville area,0.2114381637319143,0.979748508254938,19.02158182459572,500.0,1,0.0221684540655779,0.8721446837344404,0.3177463534475093,922,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-041,confirmed_master,0,E3 Nashville area,0.5416832532179527,F2,2.4073924738909303,-0.24760972722343166
TNDC-042,Zayo Nashville - 209 10th Ave. S,DataBank,Nashville,Davidson,36.155165,-86.782559,address_or_site,high,operational,interconnection_facility,core_data_center,0.919336050690768,C2 Nashville area,0.7363645579344529,1.238191763901084,19.042220946222173,500.0,1,0.2262446919391716,0.4932669783149543,1.21434260846641,944,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,TNDC-042,confirmed_master,0,E3 Nashville area,0.919336050690683,F2,2.4003939330367077,-0.46862335242296504
